account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn_flag
36,0,1,30,146.3,128,162.5,80,129.3,109,14.5,6,0,0
78,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,0
136,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,0
98,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,0
135,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,1
34,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,0
160,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,0
64,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,0
59,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,0
65,0,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,0
142,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,0
97,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,0
52,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,0
60,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,0
10,0,0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,0
96,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,0
81,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,0
141,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,0
121,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,1
125,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,0
174,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,0
116,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,0
149,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,0
38,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,0
40,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,0
43,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,0
113,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,0
126,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,0
150,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,1
138,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,0
162,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,0
147,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,0
90,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,0
85,0,0,0,235.8,109,157.2,94,188.2,99,12.0,3,0,0
50,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,0
82,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,1
144,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,1
46,0,0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,0
70,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,0
144,0,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,0
116,1,0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,0
70,0,1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,0
128,0,1,29,179.3,104,225.9,86,323.0,78,8.6,7,0,0
94,0,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,1
111,0,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,0
74,0,1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,0
128,0,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,1
82,0,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,0
155,0,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0,1
80,0,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,0
78,0,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,0
90,0,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,0
73,0,0,0,160.1,110,213.3,72,174.1,72,13.0,4,0,0
99,0,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,0
120,0,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,1
77,0,0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,1
98,0,1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,0
108,0,0,0,178.3,137,189.0,76,129.1,102,14.6,5,0,0
95,0,0,0,135.0,99,183.6,106,245.3,102,12.5,9,1,0
122,0,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,0
95,0,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,0
36,0,1,29,281.4,102,202.2,76,187.2,113,9.0,6,2,0
93,0,1,21,117.9,131,164.5,115,217.0,86,9.8,3,1,0
157,0,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,0
120,0,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,0
98,0,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,0
125,0,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,0
63,0,0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,0
36,1,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,1
64,0,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,0
74,0,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,1
46,0,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,0
41,0,1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,0
121,0,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,0
193,0,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,0
130,0,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,0
85,0,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,0
162,0,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,1
61,0,1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,1
92,0,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,0
90,0,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,0
75,0,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,0
78,0,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,0
82,0,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,0
163,0,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,0
91,1,0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,0
127,0,1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,0
113,0,1,23,205.0,101,152.0,60,158.6,59,10.2,5,2,0
110,0,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,0
120,0,1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,0
157,0,1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,0
103,0,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,0
117,1,0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,1
121,0,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,0
145,0,1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,0
113,0,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,0
117,0,0,0,102.8,119,206.7,91,299.0,105,10.1,7,1,0
65,0,0,0,187.9,116,157.6,117,227.3,86,7.5,6,1,0
56,0,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,0
96,0,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,0
151,0,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,0
83,0,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,1
139,0,1,23,157.6,129,247.0,96,259.2,112,13.7,2,0,0
6,0,0,0,183.6,117,256.7,72,178.6,79,10.2,2,1,0
115,0,1,24,142.1,124,183.4,129,164.8,114,9.6,4,1,0
141,0,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,0
62,0,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,0
185,0,1,31,189.8,126,163.3,133,264.8,126,7.5,3,1,0
148,0,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,0
94,0,1,38,170.1,124,193.3,116,105.9,73,12.8,4,1,0
32,0,0,0,230.9,87,187.4,90,154.0,53,6.3,2,0,0
68,0,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,0
25,0,0,0,119.3,87,211.5,101,268.9,86,10.5,4,3,0
65,0,0,0,116.8,87,178.9,93,182.4,150,14.1,2,1,0
179,0,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,0
94,0,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,0
62,0,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,0
116,0,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,0
70,0,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,0
94,1,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,0
126,0,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,1
67,0,1,36,115.6,111,237.7,94,169.9,103,9.9,12,2,0
19,0,0,0,186.1,98,254.3,57,214.0,127,14.6,7,2,0
170,1,0,0,259.9,68,245.0,122,134.4,121,8.4,3,3,0
73,0,0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,0
106,0,0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,0
93,0,0,0,271.6,71,229.4,108,77.3,121,10.9,3,2,0
51,0,0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,0
130,0,0,0,176.9,109,90.7,104,238.0,69,9.5,2,1,0
80,0,0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,0
94,0,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0,0
118,0,1,23,289.5,52,166.6,111,119.1,88,9.5,4,1,0
117,0,1,23,198.1,86,177.0,86,180.5,92,6.8,6,1,0
78,0,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,0
208,0,0,0,326.5,67,176.3,113,181.7,102,10.7,6,2,1
131,1,1,26,292.9,101,199.7,97,255.3,127,13.8,7,4,1
63,0,0,0,83.0,64,177.0,106,245.7,89,13.0,3,0,0
53,0,1,24,145.7,146,220.5,136,249.9,96,13.1,5,3,0
62,0,0,0,182.3,101,328.2,93,245.0,131,11.2,1,2,0
97,0,0,0,218.0,86,184.0,94,240.5,110,6.4,8,3,0
105,0,0,0,140.6,109,178.6,51,217.0,83,6.8,3,2,0
157,0,0,0,152.7,105,257.5,80,198.1,93,9.4,4,1,0
66,0,1,36,106.7,76,209.8,77,190.4,117,12.1,2,1,0
122,0,0,0,243.8,98,83.9,72,179.8,84,13.7,8,2,0
38,0,0,0,194.4,94,186.7,95,223.3,90,10.8,5,3,0
106,0,0,0,213.9,95,151.9,70,260.1,124,12.2,5,3,0
99,0,0,0,217.2,112,246.7,89,226.1,89,15.8,7,3,0
99,0,0,0,241.1,72,155.6,98,188.2,109,11.6,10,1,0
144,1,0,0,203.5,100,247.6,103,194.3,94,11.9,11,0,0
93,0,0,0,179.3,93,178.6,98,225.2,131,11.5,6,3,0
120,0,0,0,180.0,80,224.2,82,265.4,91,4.7,7,3,0
106,0,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0,0
81,0,0,0,183.6,116,152.6,98,212.2,99,12.2,6,3,0
127,0,1,22,166.0,114,174.5,103,244.9,68,10.2,6,1,0
65,0,0,0,136.1,112,272.9,96,220.2,104,4.4,2,1,0
35,0,0,0,149.3,113,242.2,122,174.3,104,8.9,6,2,0
88,0,0,0,65.4,97,168.2,76,236.0,113,13.8,1,2,0
65,0,0,0,213.4,111,234.5,94,250.1,123,2.7,4,1,0
123,0,0,0,206.9,85,244.7,78,221.5,136,7.7,2,3,0
126,0,1,27,186.2,78,189.6,83,76.5,139,9.6,3,2,0
45,0,1,22,196.6,84,313.2,92,163.3,108,11.9,3,0,0
93,1,0,0,312.0,109,129.4,100,217.6,74,10.5,2,0,1
63,1,1,36,199.0,110,291.3,111,197.6,92,11.0,6,1,0
100,0,0,0,203.1,96,217.0,126,180.9,122,13.5,2,3,0
53,0,0,0,168.8,97,220.3,87,154.3,113,10.9,2,0,0
92,1,0,0,173.1,140,240.3,105,233.2,117,9.0,5,1,0
139,0,0,0,134.4,106,211.3,98,193.6,125,10.2,2,5,1
110,0,1,40,202.6,103,118.8,128,234.9,98,9.0,9,2,0
110,0,0,0,74.5,117,200.8,98,192.2,101,9.8,7,3,0
215,0,0,0,83.6,148,120.9,91,226.6,110,10.7,9,0,0
138,0,0,0,220.2,89,88.3,125,195.3,79,12.9,5,0,0
137,1,0,0,135.1,95,134.1,102,223.1,81,12.3,2,2,1
85,0,0,0,225.0,81,176.9,63,194.3,110,7.1,2,3,0
22,0,0,0,110.3,107,166.5,93,202.3,96,9.5,5,0,0
107,0,1,37,60.0,102,102.2,80,261.8,106,11.1,3,0,0
51,0,0,0,214.8,94,149.7,58,283.4,66,10.2,5,0,0
94,0,0,0,181.8,85,202.4,98,245.9,97,9.2,2,4,0
33,0,1,29,157.4,99,117.9,80,279.2,79,13.9,11,4,1
106,0,0,0,207.9,91,172.0,109,191.8,143,14.4,7,4,0
86,0,1,41,119.0,101,230.0,134,236.9,58,9.5,3,0,0
97,1,0,0,143.7,117,273.0,82,178.3,81,10.9,3,0,0
106,0,1,32,165.9,126,216.5,93,173.1,86,14.1,8,4,0
108,0,0,0,138.6,122,172.3,117,231.6,92,9.8,3,1,0
114,0,0,0,84.7,118,249.9,86,193.4,95,14.5,8,1,0
92,1,0,0,62.6,111,180.6,126,221.7,80,10.4,2,1,1
59,0,0,0,155.2,79,235.3,123,169.4,80,8.7,4,1,0
24,0,1,25,164.9,110,209.3,105,231.2,55,6.7,9,1,0
151,0,0,0,134.5,88,143.1,112,223.9,61,15.4,1,1,0
117,0,0,0,143.3,103,211.3,108,185.2,96,11.5,3,1,0
78,0,0,0,168.3,110,221.2,73,241.0,136,12.5,1,1,0
155,0,0,0,262.4,55,194.6,113,146.5,85,8.3,6,2,0
114,0,1,30,206.2,79,260.0,91,291.6,83,11.4,6,1,0
114,0,1,28,225.8,94,193.0,117,232.4,100,8.4,9,4,0
119,0,0,0,138.3,89,170.5,78,263.9,98,13.5,6,3,0
118,1,0,0,160.0,123,175.4,96,184.8,99,9.9,3,2,0
101,0,0,0,206.6,105,224.9,117,249.9,100,14.6,3,0,0
117,0,0,0,134.7,121,180.0,83,200.9,104,7.7,3,1,0
49,0,1,28,214.4,78,235.2,100,206.2,107,8.0,13,3,0
139,0,0,0,192.8,104,234.4,96,203.2,101,13.0,3,3,0
92,0,1,28,151.1,90,194.8,79,239.2,114,10.0,3,1,0
148,1,0,0,218.9,88,208.0,85,203.3,99,11.1,4,0,0
144,0,1,48,189.8,96,123.4,67,214.2,106,6.5,2,2,1
131,0,1,25,192.7,85,225.9,105,254.2,59,10.9,6,2,0
146,1,0,0,204.4,135,219.1,90,222.7,114,10.5,6,3,0
143,0,0,0,172.3,97,174.0,108,188.2,119,13.0,4,2,0
81,0,0,0,198.4,93,210.9,108,193.3,71,10.4,6,2,0
48,0,1,37,211.7,115,159.9,84,144.1,80,12.2,1,1,0
145,0,1,24,147.5,90,175.7,108,252.1,102,15.6,3,2,0
137,0,0,0,206.4,122,128.0,102,194.5,84,8.8,5,2,0
137,0,0,0,205.9,88,209.3,86,289.9,84,14.5,4,2,0
167,0,0,0,207.6,88,132.4,63,255.2,98,14.1,5,0,0
89,0,0,0,303.9,95,260.9,114,312.1,89,5.3,3,1,1
199,0,1,34,230.6,121,219.4,99,299.3,94,8.0,2,0,0
132,0,0,0,99.5,110,129.1,80,125.1,124,9.7,3,0,0
94,0,0,0,177.1,112,194.0,112,146.7,108,5.9,4,1,0
96,0,1,18,172.7,86,133.4,113,259.5,70,9.8,3,1,0
166,0,0,0,204.2,115,179.9,152,216.8,109,9.5,5,1,0
74,0,0,0,85.7,83,247.7,67,142.4,85,10.1,5,2,0
36,0,0,0,157.6,117,184.3,58,240.4,99,11.9,1,0,0
113,0,0,0,215.5,129,218.7,117,207.1,91,6.6,9,4,0
67,0,0,0,171.7,80,110.4,81,195.4,111,11.9,4,2,0
127,0,0,0,266.6,106,264.8,168,207.2,119,5.9,2,1,1
158,0,0,0,158.0,106,292.5,114,241.1,89,9.1,4,1,0
136,0,0,0,92.0,117,253.6,77,214.1,90,10.3,10,1,0
196,0,0,0,234.0,109,249.5,114,173.1,70,9.1,5,2,0
113,0,0,0,272.1,111,268.5,118,213.8,105,8.5,10,1,1
122,0,0,0,296.4,99,214.8,89,133.9,107,11.4,3,4,1
112,0,0,0,194.4,101,190.3,82,183.4,107,11.4,2,0,0
209,0,0,0,227.2,128,258.4,92,183.5,74,8.9,4,3,0
62,0,0,0,248.7,109,220.0,118,265.7,78,13.2,2,1,1
110,0,1,38,236.3,102,195.9,112,183.5,82,9.7,6,1,0
16,0,0,0,205.6,69,169.5,93,220.1,64,10.9,3,0,0
73,0,0,0,94.1,136,280.3,122,205.0,77,9.8,4,0,0
128,0,0,0,125.2,99,205.4,107,254.4,111,18.9,2,0,0
39,0,0,0,60.4,158,306.2,120,123.9,46,12.4,3,1,0
103,0,1,28,121.0,105,270.4,100,160.5,76,7.7,4,2,0
119,0,1,29,117.8,66,256.8,114,147.6,76,7.6,3,3,0
86,0,0,0,176.3,79,259.2,97,287.4,78,6.2,3,0,0
114,0,1,32,125.2,79,177.8,105,232.4,89,12.9,3,1,0
104,0,0,0,138.7,107,256.9,113,234.9,74,10.0,3,0,0
148,0,0,0,86.3,134,246.6,92,251.6,91,11.3,4,1,0
129,0,0,0,207.0,91,154.9,121,245.1,112,13.4,5,3,0
100,0,1,30,58.8,104,219.5,107,152.3,118,7.1,3,0,0
121,0,1,35,68.7,95,209.2,69,197.4,42,11.4,4,1,0
143,0,1,33,239.2,109,235.5,112,156.3,95,9.5,4,1,0
76,0,0,0,198.3,130,217.1,86,188.4,96,12.5,3,0,0
158,0,0,0,205.2,97,240.6,77,79.7,108,14.4,12,0,0
116,0,0,0,192.1,98,312.9,135,130.2,94,7.9,2,3,0
54,0,0,0,272.6,83,248.7,74,197.4,111,9.5,2,1,1
86,0,0,0,128.3,121,197.1,93,138.4,152,12.2,5,7,1
108,0,0,0,169.6,99,264.1,87,206.3,78,9.3,4,0,0
151,0,1,17,214.7,97,138.5,90,169.1,44,8.6,4,1,0
99,0,0,0,169.2,70,271.5,77,170.2,104,10.6,2,0,0
55,0,0,0,194.1,121,176.6,110,302.8,136,7.0,7,2,0
78,0,0,0,225.1,67,199.2,127,175.5,102,14.6,2,0,0
89,0,0,0,213.0,63,176.6,71,262.6,126,9.1,1,1,1
44,0,1,34,221.8,105,161.7,85,227.7,62,14.0,7,0,0
98,0,1,21,64.6,98,176.1,86,244.8,84,0.0,0,2,0
64,0,1,37,154.6,92,83.4,103,165.9,99,13.3,3,1,0
141,0,0,0,260.2,131,179.2,120,135.0,119,7.2,8,3,0
81,0,1,33,161.6,117,123.0,90,261.3,101,12.2,5,1,0
162,0,0,0,220.6,117,155.2,121,186.7,89,10.5,11,1,0
83,0,1,41,155.9,122,162.3,107,127.6,105,13.1,5,3,0
59,0,0,0,182.5,104,204.7,95,229.9,100,11.3,8,4,0
179,1,1,38,220.1,78,234.3,71,237.3,85,10.1,4,4,0
79,0,0,0,152.2,112,177.2,132,96.4,87,5.3,3,1,0
117,0,0,0,181.5,95,205.1,88,204.0,82,14.7,9,2,0
64,1,0,0,236.2,77,218.6,85,194.1,97,13.2,2,2,1
122,0,1,23,134.2,85,227.3,132,122.4,96,8.5,2,2,0
90,0,1,29,150.1,109,264.7,103,178.4,97,5.8,4,1,0
159,1,0,0,257.1,53,312.2,127,183.0,82,8.8,6,1,1
148,0,0,0,124.4,83,179.7,81,253.0,99,11.3,6,0,0
39,0,1,36,141.7,121,232.3,113,222.1,131,12.0,5,1,0
77,0,0,0,230.0,87,103.2,138,309.6,136,11.3,3,2,0
194,0,0,0,162.3,88,213.7,118,192.1,81,10.9,2,0,0
112,0,0,0,193.3,96,264.1,123,128.6,115,9.1,3,4,0
45,0,0,0,78.2,127,253.4,108,255.0,100,18.0,3,1,0
132,0,0,0,83.4,110,232.2,137,146.7,114,7.6,5,1,0
135,0,0,0,201.8,81,225.0,114,204.4,82,10.3,6,1,0
56,0,0,0,197.0,110,222.8,102,225.3,91,10.6,6,2,0
151,1,0,0,218.0,57,114.4,88,269.2,95,12.4,1,0,1
32,0,0,0,164.8,98,229.9,96,167.3,108,14.8,2,2,0
87,0,1,21,214.0,113,180.0,114,134.5,82,10.6,5,0,0
138,0,0,0,170.5,87,118.2,116,187.9,111,11.2,7,2,0
79,0,0,0,205.7,123,214.5,108,226.1,106,6.7,18,1,0
95,1,0,0,165.5,84,286.2,112,198.9,89,11.5,2,1,1
127,0,0,0,221.0,100,160.7,113,233.1,96,6.8,4,2,0
137,0,0,0,242.1,118,191.0,93,218.6,50,14.7,2,3,0
97,0,0,0,151.6,107,155.4,96,240.0,112,14.7,4,1,0
149,1,0,0,176.2,87,145.0,81,249.5,92,5.7,4,0,0
117,1,1,22,196.0,82,322.7,82,225.6,120,3.7,5,1,0
84,0,0,0,159.5,125,247.1,90,187.9,82,7.2,4,2,0
137,0,0,0,230.2,113,220.4,79,204.7,111,10.7,7,4,0
54,0,0,0,210.5,102,204.5,83,127.8,53,8.5,5,1,0
85,0,0,0,102.0,95,270.2,139,148.2,105,10.7,3,1,0
43,0,0,0,168.4,125,243.8,89,214.7,102,11.1,2,1,0
35,0,0,0,105.6,129,258.2,129,213.1,77,8.7,3,0,0
98,0,0,0,206.5,92,176.2,152,232.8,115,12.4,5,5,0
112,0,0,0,217.1,76,205.2,100,185.7,91,9.4,3,2,0
16,0,0,0,229.6,78,205.7,108,166.2,91,10.8,2,0,1
98,0,1,22,278.3,89,93.4,143,107.6,42,9.7,5,0,0
84,0,0,0,181.5,129,130.7,112,186.5,118,8.5,4,1,0
66,0,0,0,167.3,91,230.0,68,191.7,118,10.6,5,1,1
74,0,0,0,221.1,124,110.8,94,240.1,112,10.6,3,0,0
96,0,1,26,145.8,108,192.2,89,165.1,96,9.9,2,1,0
119,0,0,0,222.8,122,163.2,107,160.6,112,11.2,6,1,0
92,1,0,0,264.3,91,160.9,115,198.6,73,9.3,5,0,0
21,0,0,0,146.0,78,109.7,79,247.4,108,6.8,7,0,0
122,0,0,0,157.1,134,184.9,122,197.2,59,8.5,5,4,1
133,1,0,0,127.3,108,251.3,81,135.0,88,10.3,3,1,0
145,0,0,0,187.9,110,197.0,117,167.0,108,4.8,4,2,0
25,0,0,0,178.8,90,141.2,72,203.0,99,8.4,5,2,0
64,0,0,0,97.2,80,186.2,90,189.0,92,10.4,6,2,0
85,0,0,0,259.8,85,242.3,117,168.8,72,5.4,1,0,0
76,0,0,0,169.5,77,124.0,87,219.4,92,10.0,3,0,0
224,1,0,0,171.5,99,160.0,103,212.4,102,5.0,2,1,1
117,0,0,0,239.9,84,174.8,106,209.5,93,9.8,2,0,0
128,0,1,34,142.3,73,194.8,79,239.3,81,16.0,6,1,0
115,0,0,0,184.1,98,327.0,73,212.5,106,7.5,6,2,0
141,0,1,28,206.9,126,264.4,126,171.8,124,9.3,11,2,0
51,0,0,0,259.9,114,176.2,94,77.2,112,15.3,1,1,0
100,0,0,0,203.8,122,283.1,76,197.3,83,12.5,3,0,0
96,0,1,45,248.8,124,140.3,77,263.6,102,10.3,2,3,0
112,0,1,16,221.6,110,130.2,123,200.0,108,11.3,3,1,0
129,1,0,0,192.9,131,185.5,101,205.2,130,10.9,4,1,0
163,0,0,0,122.4,129,113.4,108,180.2,97,12.5,7,1,0
67,0,1,40,104.9,65,216.3,93,217.4,128,9.6,9,1,0
140,0,0,0,173.2,91,196.8,106,209.3,128,11.2,5,3,0
49,0,0,0,119.4,69,273.3,92,214.4,153,12.4,7,2,0
46,0,0,0,250.3,100,260.6,90,195.0,104,13.3,2,2,1
148,0,0,0,178.3,98,282.6,110,181.0,98,11.4,4,1,0
112,0,0,0,243.4,77,182.1,97,259.2,94,12.8,2,1,0
78,0,0,0,155.0,106,175.3,101,155.6,125,11.8,5,2,0
61,0,1,31,288.7,101,203.8,102,203.2,49,8.6,3,0,0
58,0,1,29,240.4,80,118.9,91,164.2,108,11.2,3,1,0
100,0,0,0,278.0,76,176.7,74,219.5,126,8.3,4,0,1
113,0,0,0,155.0,93,330.6,106,189.4,123,13.5,3,1,0
81,0,0,0,153.5,99,197.6,102,198.5,86,6.3,2,2,0
135,0,1,27,273.4,141,154.0,99,245.8,112,12.3,6,1,0
99,0,0,0,155.3,93,265.7,95,145.7,67,12.4,4,0,0
135,0,0,0,246.8,129,187.8,121,154.5,109,12.6,5,1,0
85,1,0,0,165.4,107,196.0,126,349.2,110,9.6,7,2,0
88,0,0,0,138.3,116,236.0,138,179.1,110,9.6,4,3,0
55,0,0,0,286.7,100,134.4,121,192.9,122,6.9,5,2,0
79,0,1,21,264.3,79,202.8,118,173.4,92,6.3,3,4,0
85,0,0,0,127.9,107,271.2,124,202.2,76,12.5,5,0,0
86,0,1,23,225.5,107,246.3,105,245.7,81,9.8,2,0,0
91,0,0,0,149.0,115,245.3,105,260.0,94,8.3,3,0,0
149,0,1,20,198.9,77,274.0,88,190.7,76,14.3,9,1,0
97,0,0,0,256.4,125,273.9,100,222.7,101,11.1,1,1,1
88,0,0,0,264.8,124,245.4,112,160.5,115,14.8,2,1,1
60,0,0,0,98.2,88,180.5,69,223.6,69,9.3,2,2,0
54,0,0,0,159.8,99,264.0,64,115.7,70,9.7,7,2,0
109,0,0,0,184.0,120,120.4,119,153.7,86,11.0,3,0,0
